"","SRR16352841ReadsPerGene.out.tab","SRR16352842ReadsPerGene.out.tab","SRR16352843ReadsPerGene.out.tab","SRR16352845ReadsPerGene.out.tab","SRR16352846ReadsPerGene.out.tab","SRR16352847ReadsPerGene.out.tab","SRR16352849ReadsPerGene.out.tab","SRR16352850ReadsPerGene.out.tab","SRR16352851ReadsPerGene.out.tab","SRR16352854ReadsPerGene.out.tab","SRR16352855ReadsPerGene.out.tab","SRR16352856ReadsPerGene.out.tab","SRR16352859ReadsPerGene.out.tab","SRR16352860ReadsPerGene.out.tab","SRR16352861ReadsPerGene.out.tab"
"asRNA:CR44960",4,1,2,0,1,2,4,0,1,2,4,0,2,2,3
"lncRNA:CR44661",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44654",1,3,10,2,0,5,6,8,1,4,0,3,4,3,5
"lncRNA:CR44614",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"lncRNA:CR44662",55,56,70,25,52,56,51,45,9,60,89,26,61,45,66
"asRNA:CR44427",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44988",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44831",0,1,1,0,1,3,3,3,0,7,3,1,0,2,3
"lncRNA:CR44621",0,2,0,0,2,0,4,3,2,3,1,4,2,11,2
"lncRNA:CR45369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45522",0,1,4,0,0,1,0,2,1,0,1,0,0,0,0
"lncRNA:CR44620",9,9,9,3,1,2,0,2,6,8,11,6,10,5,2
"lncRNA:CR44798",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45709",2,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"lncRNA:CR44797",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"lncRNA:CR44963",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44658",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45018",145,180,145,57,132,144,108,141,32,264,171,215,162,186,158
"asRNA:CR45366",0,5,2,0,0,2,2,4,3,3,1,0,5,0,2
"lncRNA:CR44657",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45367",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44655",2,1,0,2,2,0,0,1,1,4,2,0,0,2,0
"lncRNA:CR43719",0,0,0,0,0,0,2,1,0,0,2,0,0,0,0
"lncRNA:CR42861",167,163,209,80,227,218,118,202,50,207,181,184,184,114,157
"asRNA:CR44840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45626",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45625",0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
"lncRNA:CR44619",0,1,3,1,8,5,5,6,0,1,6,3,1,2,0
"asRNA:CR45623",0,0,0,0,0,0,4,0,0,0,2,0,2,0,0
"lncRNA:CR44568",0,0,0,1,0,0,0,0,0,0,11,0,0,0,0
"asRNA:CR45621",1,1,0,0,0,2,0,0,0,0,0,0,0,0,1
"lncRNA:CR45615",0,0,0,0,1,0,0,1,0,0,0,0,2,1,0
"lncRNA:CR43961",7,1,3,4,6,5,13,12,5,15,25,12,27,3,10
"lncRNA:CR32660",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43157",0,3,2,0,2,1,1,0,0,1,3,0,0,3,1
"lncRNA:CR45619",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"asRNA:CR44962",2,1,1,0,2,0,2,6,1,4,3,5,15,5,3
"lncRNA:CR45618",1,0,0,0,0,0,5,1,0,1,2,3,3,1,1
"lncRNA:roX2",0,1,0,0,6,0,1,0,0,0,1,0,0,0,0
"asRNA:CR44266",0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
"lncRNA:CR44556",0,0,0,0,2,0,0,0,0,0,0,0,0,7,0
"lncRNA:CR44765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45604",0,2,0,2,0,2,0,0,0,1,0,0,0,0,0
"asRNA:CR44358",2,0,0,1,0,0,1,0,0,0,2,3,0,1,0
"lncRNA:CR45614",1,8,3,0,7,5,3,1,1,0,0,0,2,0,0
"lncRNA:CR44524",0,2,1,0,0,3,2,8,3,0,1,0,0,2,7
"lncRNA:CR45617",0,1,0,1,1,1,4,4,1,3,0,3,3,5,4
"lncRNA:CR45616",5,10,10,2,3,4,8,8,6,2,6,4,4,5,27
"lncRNA:CR45624",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"lncRNA:CR45204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44766",5,5,7,3,3,8,1,7,0,7,3,2,2,9,5
"asRNA:CR45629",11,6,14,3,5,1,6,10,0,3,7,5,2,2,2
"asRNA:CR44894",0,0,3,1,4,0,0,2,0,1,3,0,0,0,5
"lncRNA:CR45602",4,4,0,1,2,0,0,4,0,2,3,0,2,2,0
"asRNA:CR45601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45185",0,0,0,0,5,0,7,2,0,1,9,4,4,4,15
"lncRNA:CR42657",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45543",1,3,1,0,2,0,0,1,0,7,6,2,1,2,0
"lncRNA:CR45542",9,2,11,5,9,0,3,11,2,2,3,2,8,7,0
"lncRNA:CR45541",0,0,1,0,3,0,2,2,0,7,0,0,3,0,0
"lncRNA:CR45540",0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
"lncRNA:CR44534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44517",12,7,5,2,1,4,0,4,1,1,1,3,5,0,4
"lncRNA:CR45539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45537",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44508",1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"lncRNA:CR44507",2,2,0,0,8,0,0,0,0,8,0,1,0,0,0
"lncRNA:CR45536",1,0,4,0,3,1,2,0,0,1,0,0,0,1,3
"asRNA:CR45535",9,3,6,1,2,7,4,13,1,1,5,8,9,2,2
"asRNA:CR45620",42,61,31,12,25,44,40,36,11,23,33,38,21,25,31
"lncRNA:CR43287",3,0,1,1,2,3,5,3,0,9,5,0,4,4,4
"lncRNA:CR45665",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45666",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"lncRNA:CR45667",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"lncRNA:CR44502",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43279",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"lncRNA:CR45534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"lncRNA:CR43199",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"lncRNA:CR45533",0,0,0,0,0,0,2,1,0,0,3,0,0,0,1
"lncRNA:CR44357",2,0,1,0,2,0,0,5,0,0,2,1,0,0,0
"lncRNA:CR45532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45531",5,0,5,1,3,0,4,6,1,11,46,4,3,5,3
"lncRNA:CR44964",6,18,37,64,112,77,5,7,2,82,54,24,11,8,29
"lncRNA:CR44895",1,0,0,1,2,0,0,2,0,1,7,8,0,0,2
"lncRNA:CR44817",0,0,0,1,0,0,0,2,0,0,2,0,0,0,0
"lncRNA:CR44816",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"lncRNA:CR45530",15,16,6,18,32,23,9,17,4,11,39,10,22,16,8
"asRNA:CR44959",3,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"lncRNA:CR44499",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44498",10,3,13,3,2,0,0,0,0,14,0,1,2,0,6
"lncRNA:CR45519",0,2,0,1,0,0,1,0,0,9,2,48,1,0,3
"lncRNA:CR45668",12,2,4,1,8,11,14,9,1,13,19,8,8,8,0
"lncRNA:CR44471",3,0,4,1,1,1,0,0,0,0,0,0,0,0,0
"lncRNA:CR45529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45517",548,374,357,183,639,683,176,280,42,674,576,574,239,229,201
"lncRNA:CR44832",43,20,2,15,279,0,40,32,7,45,18,33,147,39,83
"lncRNA:CR44834",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"asRNA:CR45528",0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
"lncRNA:CR44833",1,1,0,1,7,1,0,1,0,0,1,1,0,0,16
"lncRNA:CR42794",10,16,19,9,6,5,38,28,7,19,25,16,29,9,27
"lncRNA:CR45516",14,9,2,0,7,4,5,7,2,7,8,8,2,14,0
"asRNA:CR45525",0,0,0,0,0,1,7,1,0,2,3,0,1,2,4
"lncRNA:CR45515",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"asRNA:CR44958",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR32773",0,2,0,0,9,8,4,6,2,5,12,3,4,0,16
"asRNA:CR45520",0,1,0,0,5,4,1,1,1,5,2,1,7,3,0
"lncRNA:CR45483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45481",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:roX1",221,133,142,80,178,98,47,55,17,302,131,123,57,60,87
"lncRNA:CR45102",622,459,702,67,331,327,403,430,105,462,443,454,501,389,509
"lncRNA:CR44999",7,0,0,1,2,0,2,1,0,0,6,3,2,0,1
"lncRNA:CR44886",1,6,5,3,3,0,1,2,0,9,3,4,5,3,14
"lncRNA:CR44470",0,0,0,0,2,2,1,1,0,1,13,3,3,0,0
"lncRNA:CR45480",2,17,8,2,12,14,18,13,4,12,14,13,13,16,10
"asRNA:CR44690",4,0,3,2,4,3,3,2,2,8,8,9,6,1,4
"asRNA:CR45479",12,9,8,4,7,7,16,11,0,10,8,3,4,6,4
"asRNA:CR44382",5,5,0,0,3,4,5,6,1,2,4,1,2,8,1
"asRNA:CR44381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45478",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"asRNA:CR43864",8,8,5,4,6,7,17,33,14,35,25,42,25,19,19
"lncRNA:CR44779",392,287,357,94,326,108,51,109,19,132,103,72,38,84,108
"lncRNA:CR45476",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44469",0,5,3,0,1,3,6,5,1,0,1,1,6,1,6
"lncRNA:CR44966",0,0,0,0,3,1,0,0,0,0,2,0,0,0,0
"lncRNA:CR44965",0,0,0,0,2,0,0,0,0,4,4,0,0,0,0
"lncRNA:CR45475",0,0,2,0,0,0,0,0,0,3,1,0,0,1,0
"lncRNA:CR45474",0,2,0,2,2,0,0,2,0,4,3,1,4,0,7
"asRNA:CR44892",55,28,72,14,59,50,61,56,12,50,47,39,51,43,42
"asRNA:CR44891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44753",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44751",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45473",180,137,118,106,155,132,263,281,61,338,316,246,258,235,210
"asRNA:CR44030",34,14,30,6,29,29,12,32,7,34,31,22,0,0,9
"lncRNA:CR45201",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"asRNA:CR44029",131,84,149,14,67,100,104,129,34,106,106,90,161,125,172
"lncRNA:CR45123",0,0,1,0,0,0,0,0,0,0,0,2,2,4,1
"lncRNA:CR45200",9,2,16,11,12,11,13,18,2,25,5,7,4,9,5
"lncRNA:CR45199",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45126",14,7,25,1,13,9,8,11,2,7,18,6,10,7,17
"lncRNA:CR45125",4,0,0,1,2,0,0,0,0,0,0,0,2,0,0
"lncRNA:CR44441",3,19,17,3,22,13,17,11,2,17,22,9,14,14,19
"asRNA:CR45198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44440",5,6,5,0,15,5,3,5,0,3,3,0,2,0,9
"asRNA:CR45124",2,0,4,0,1,2,3,0,0,0,2,2,2,1,4
"lncRNA:CR44036",0,0,0,0,2,0,1,0,1,1,3,8,1,0,2
"lncRNA:CR44135",21,14,50,9,27,22,17,15,2,13,3,11,4,18,5
"asRNA:CR44137",35,15,16,8,30,35,5,10,1,15,11,10,10,14,6
"lncRNA:CR44230",6,3,4,0,3,4,5,14,5,2,16,10,24,5,10
"asRNA:CR44018",0,0,1,0,3,3,1,0,1,0,0,0,0,1,0
"asRNA:CR44192",0,0,1,0,0,0,1,0,6,0,2,36,0,0,3
"asRNA:CR44035",1353,1611,1166,328,571,871,2053,3613,1037,4014,2325,3700,2651,2457,1694
"asRNA:CR44020",1,0,0,1,5,3,0,1,0,0,3,0,7,0,6
"asRNA:CR44228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43685",222,155,205,84,172,202,190,241,67,215,248,175,208,167,275
"lncRNA:CR42651",1,1,3,3,9,1,3,1,0,2,10,4,0,0,0
"lncRNA:CR44017",1,1,2,2,5,1,2,2,0,1,0,1,0,0,2
"asRNA:CR44093",3,5,7,0,3,4,7,5,0,3,4,7,1,2,4
"lncRNA:CR44103",2,1,0,0,0,7,0,1,0,0,0,0,0,0,1
"lncRNA:CR44157",1,2,0,0,10,0,5,9,0,9,4,4,0,4,1
"lncRNA:CR44156",11,16,7,0,38,15,12,22,4,77,14,39,12,6,3
"asRNA:CR44155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR40053",0,0,0,0,0,0,0,7,1,6,6,5,0,6,2
"lncRNA:CR43942",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43941",0,0,0,0,2,0,0,2,0,0,0,0,1,0,0
"lncRNA:CR43967",0,1,7,10,1,0,12,10,2,6,4,2,2,7,4
"lncRNA:CR43995",1,7,3,1,2,5,10,8,0,18,7,5,6,12,9
"lncRNA:CR43878",14,1,10,4,6,7,2,5,0,2,19,5,10,8,1
"lncRNA:CR44043",8,5,4,3,18,17,5,4,0,7,20,12,12,13,4
"lncRNA:CR43888",2,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"lncRNA:CR44042",14,4,10,6,15,9,5,7,0,6,6,12,3,8,19
"lncRNA:CR43978",3,0,4,0,0,1,0,0,1,0,0,1,1,0,0
"asRNA:CR43979",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44041",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"lncRNA:CR43977",75,63,66,7,20,47,51,69,17,29,35,28,35,49,66
"lncRNA:CR44136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44046",12,1,7,3,15,1,1,2,2,4,2,0,1,5,4
"lncRNA:CR43939",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"asRNA:CR43877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43929",0,0,0,0,0,0,1,0,4,0,0,41,0,0,1
"lncRNA:CR44022",4,0,0,0,6,1,1,1,1,3,7,0,0,0,1
"lncRNA:CR43930",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"asRNA:CR44049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43644",0,0,0,0,1,2,0,0,0,0,0,0,2,4,1
"lncRNA:CR43705",0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
"lncRNA:CR43643",2,0,0,0,0,0,0,0,0,0,0,2,1,3,1
"lncRNA:CR43945",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43943",13,13,12,4,13,8,15,12,2,12,2,11,14,16,13
"lncRNA:CR43847",0,0,0,0,0,0,0,2,1,2,0,0,0,0,0
"asRNA:CR44179",13,16,26,8,15,8,19,17,7,25,15,6,22,11,21
"asRNA:CR43944",0,0,2,0,0,1,2,4,0,7,2,1,2,0,0
"asRNA:CR44021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR43875",5,11,10,1,9,5,9,1,0,9,2,3,0,4,6
"lncRNA:CR44092",2,2,7,0,6,5,3,1,0,3,1,0,0,4,0
"asRNA:CR43872",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44052",1,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"asRNA:CR43903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR43889",5,8,11,3,13,6,2,12,2,3,4,3,3,1,1
"lncRNA:CR44226",0,2,0,0,0,0,0,1,0,0,0,0,0,2,0
"lncRNA:CR44225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43966",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43892",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43846",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43654",17,9,27,25,44,32,22,12,4,45,68,24,31,10,23
"lncRNA:CR43893",0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
"asRNA:CR44062",0,0,1,0,1,2,1,0,0,0,1,5,0,3,8
"lncRNA:CR43985",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43987",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"lncRNA:CR43874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43870",0,0,0,1,0,1,0,0,0,4,0,4,4,0,2
"asRNA:CR44087",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44034",8,2,11,2,4,10,3,5,1,4,10,3,2,8,3
"lncRNA:CR43951",53,33,48,40,110,101,31,87,9,63,43,45,38,51,24
"lncRNA:CR44050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43653",19,12,39,10,25,30,38,41,6,49,77,24,54,41,25
"lncRNA:CR44051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44033",0,1,0,1,4,0,2,1,0,2,0,0,0,0,0
"lncRNA:CR43992",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"lncRNA:CR44089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR43971",13,6,13,11,3,8,9,10,1,6,14,5,17,10,5
"lncRNA:CR43973",107,97,136,38,88,49,50,66,7,93,57,52,35,39,35
"lncRNA:CR43684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"lncRNA:CR44048",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"lncRNA:CR43911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44047",77,65,79,15,60,64,49,53,11,75,35,38,62,54,42
"lncRNA:CR43913",5,17,3,0,0,2,3,1,0,5,5,0,0,3,0
"lncRNA:CR43652",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR43868",3,0,0,1,0,0,2,0,0,3,2,1,1,3,1
"asRNA:CR44160",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43994",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"lncRNA:iab8",4,1,4,0,2,0,4,1,0,0,4,0,5,4,1
"lncRNA:CR43887",16,13,30,1,19,44,8,8,3,9,5,10,9,12,8
"lncRNA:CR43989",302,409,330,186,286,339,305,491,139,413,373,380,341,346,180
"lncRNA:CR43990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43910",62,32,63,3,26,69,16,23,3,16,16,11,22,24,6
"lncRNA:CR43953",0,0,0,0,0,0,0,3,0,0,1,0,0,1,0
"lncRNA:CR43974",3,1,2,0,8,10,4,2,0,0,4,1,1,3,3
"lncRNA:CR43884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44133",10,5,3,9,27,8,15,9,3,17,15,8,14,10,10
"lncRNA:CR43881",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43849",0,0,0,0,0,0,2,0,0,0,4,0,0,0,0
"asRNA:CR44095",6,3,21,5,16,15,7,13,0,26,8,10,6,7,7
"lncRNA:CR43882",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44177",6,1,1,2,5,9,8,11,7,13,4,4,3,5,8
"lncRNA:CR43879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44176",5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"asRNA:CR43916",0,2,1,0,5,0,0,0,0,0,1,0,0,0,0
"asRNA:CR44237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43917",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43642",13,10,25,4,6,9,11,15,4,6,26,13,5,23,4
"lncRNA:CR43932",3,3,6,2,8,6,4,9,2,8,4,7,1,1,6
"snmRNA:CR43701",2,0,0,0,3,0,0,0,1,0,0,0,0,0,0
"lncRNA:CR43794",1,0,4,0,1,2,3,0,0,1,3,1,4,1,1
"lncRNA:CR43641",43,93,34,24,24,67,18,10,1,11,23,6,16,23,10
"lncRNA:CR43848",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43883",8,1,12,1,1,10,2,3,1,2,6,2,3,1,0
"lncRNA:CR43793",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44138",61,39,73,21,125,45,56,67,22,78,69,75,53,44,66
"lncRNA:CR43785",12,11,4,1,16,6,10,6,4,11,1,3,4,2,2
"lncRNA:CR43792",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43334",126,143,125,19,77,98,52,77,15,37,155,18,38,56,34
"asRNA:CR43735",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43984",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43969",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43988",1,1,0,0,0,4,1,0,0,2,6,2,0,1,1
"asRNA:CR43786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR43812",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR43787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44039",27,31,22,92,40,30,10,10,10,15,34,22,24,13,21
"asRNA:CR43964",3,0,3,1,5,0,1,3,0,2,1,0,1,1,0
"Uhg1",412,338,521,91,404,283,189,210,18,298,190,193,482,229,531
"lncRNA:CR43661",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43660",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"lncRNA:CR43650",465,370,340,220,449,617,357,548,203,1012,1012,600,628,470,270
"asRNA:CR43728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR43898",2,2,3,0,3,0,0,0,1,0,0,0,1,0,0
"lncRNA:CR43831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43811",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43918",8,3,4,2,13,13,7,9,2,38,49,14,1,7,6
"asRNA:CR43469",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43909",3,4,0,0,3,1,2,4,1,11,5,2,2,4,5
"lncRNA:CR43900",11,18,5,1,17,22,5,7,3,5,19,20,10,9,5
"lncRNA:CR43907",0,0,0,0,0,0,1,0,1,0,1,4,0,1,1
"lncRNA:CR43771",0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
"asRNA:CR43948",0,0,0,1,1,0,0,0,2,0,0,0,0,0,0
"lncRNA:CR44208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44207",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"lncRNA:CR44070",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"asRNA:CR44069",11,8,12,0,4,1,12,6,1,5,10,7,12,6,0
"lncRNA:CR43651",18,15,10,13,27,65,7,13,9,36,12,33,10,7,6
"lncRNA:CR44068",1,1,1,3,3,0,1,0,1,7,4,31,1,0,1
"lncRNA:CR44209",11,4,4,3,6,9,2,9,3,9,10,9,4,4,3
"asRNA:CR43723",9,10,12,8,34,13,13,12,2,47,47,14,20,10,10
"lncRNA:CR44203",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"asRNA:CR44201",1,1,1,0,4,5,1,0,0,1,8,1,1,2,2
"asRNA:CR44071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44200",9,1,3,0,1,3,1,4,0,0,0,4,0,5,0
"lncRNA:CR44172",0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
